prbiotic_ID,ICD_ID,Weight
11852,4465,1
11852,4466,1
11852,4473,1
11852,4480,1
11852,4487,1
11852,4491,1
11852,4501,1
11852,4505,1
11852,4509,1
11852,4513,1
11852,4518,1
11852,4526,1
11852,4533,1
11852,4540,1
11852,4549,1
11852,4558,1
11852,4564,1
11852,4572,1
11852,4579,1
11852,4585,1
11852,4596,1
11852,4605,1
11852,4614,1
11852,4622,1
11852,4627,1
11852,4628,1
11852,4631,1
11852,4638,1
11852,4649,1
11852,4653,1
11852,4659,1
11852,4667,1
11852,4675,1
11852,4686,1
11852,4687,1
11852,4697,1
11852,4702,1
11852,4710,1
11852,4719,1
11852,4726,1
11852,4733,1
11852,4734,1
11852,4742,1
11852,4751,1
11852,4564,1
11853,4273,1
11853,4284,1
11853,4287,1
11853,4293,1
11853,4304,1
11853,4315,1
11853,4323,1
11853,4330,1
11853,4339,1
11853,4344,1
11853,4355,1
11853,4360,1
11853,4369,1
11853,4379,1
11853,4383,1
11853,4386,1
11853,4397,1
11853,4398,1
11853,4408,1
11853,4418,1
11853,4428,1
11853,4438,1
11853,4448,1
11853,4449,1
11853,4460,1
11853,4464,1
11853,4465,1
11853,4466,1
11853,4473,1
11853,4480,1
11853,4487,1
11853,4491,1
11853,4501,1
11853,4505,1
11853,4509,1
11853,4513,1
11853,4518,1
11853,4526,1
11853,4533,1
11853,4540,1
11853,4549,1
11853,4558,1
11853,4564,1
11853,4572,1
11853,4579,1
11853,4585,1
11853,4596,1
11853,4605,1
11853,4614,1
11853,4622,1
11853,4627,1
11853,4628,1
11853,4631,1
11853,4638,1
11853,4649,1
11853,4653,1
11853,4659,1
11853,4667,1
11853,4675,1
11853,4686,1
11853,4687,1
11853,4697,1
11853,4702,1
11853,4710,1
11853,4719,1
11853,4726,1
11853,4733,1
11853,4734,1
11853,4742,1
11853,4751,1
11853,7951,1
11854,69,1
11854,4566,1
11855,4571,1
11856,4565,1
11856,4558,1
11856,69,1
11856,4566,1
11856,4558,1
11856,4558,1
11856,4273,1
11856,4284,1
11856,4287,1
11856,4293,1
11856,4304,1
11856,4315,1
11856,4323,1
11856,4330,1
11856,4339,1
11856,4344,1
11856,4355,1
11856,4360,1
11856,4369,1
11856,4379,1
11856,4383,1
11856,4386,1
11856,4397,1
11856,4398,1
11856,4408,1
11856,4418,1
11856,4428,1
11856,4438,1
11856,4448,1
11856,4449,1
11856,4460,1
11856,4464,1
11856,4465,1
11856,4466,1
11856,4473,1
11856,4480,1
11856,4487,1
11856,4491,1
11856,4501,1
11856,4505,1
11856,4509,1
11856,4513,1
11856,4518,1
11856,4526,1
11856,4533,1
11856,4540,1
11856,4549,1
11856,4558,1
11856,4564,1
11856,4572,1
11856,4579,1
11856,4585,1
11856,4596,1
11856,4605,1
11856,4614,1
11856,4622,1
11856,4627,1
11856,4628,1
11856,4631,1
11856,4638,1
11856,4649,1
11856,4653,1
11856,4659,1
11856,4667,1
11856,4675,1
11856,4686,1
11856,4687,1
11856,4697,1
11856,4702,1
11856,4710,1
11856,4719,1
11856,4726,1
11856,4733,1
11856,4734,1
11856,4742,1
11856,4751,1
11857,2687,1
11857,4526,1
11858,4273,1
11858,4284,1
11858,4287,1
11858,4293,1
11858,4304,1
11858,4315,1
11858,4323,1
11858,4330,1
11858,4339,1
11858,4344,1
11858,4355,1
11858,4360,1
11858,4369,1
11858,4379,1
11858,4383,1
11858,4386,1
11858,4397,1
11858,4398,1
11858,4408,1
11858,4418,1
11858,4428,1
11858,4438,1
11858,4448,1
11858,4449,1
11858,4460,1
11858,4464,1
11858,4465,1
11858,4466,1
11858,4473,1
11858,4480,1
11858,4487,1
11858,4491,1
11858,4501,1
11858,4505,1
11858,4509,1
11858,4513,1
11858,4518,1
11858,4526,1
11858,4533,1
11858,4540,1
11858,4549,1
11858,4558,1
11858,4564,1
11858,4572,1
11858,4579,1
11858,4585,1
11858,4596,1
11858,4605,1
11858,4614,1
11858,4622,1
11858,4627,1
11858,4628,1
11858,4631,1
11858,4638,1
11858,4649,1
11858,4653,1
11858,4659,1
11858,4667,1
11858,4675,1
11858,4686,1
11858,4687,1
11858,4697,1
11858,4702,1
11858,4710,1
11858,4719,1
11858,4726,1
11858,4733,1
11858,4734,1
11858,4742,1
11858,4751,1
11858,5093,1
11858,514,1
11859,4273,1
11859,4284,1
11859,4287,1
11859,4293,1
11859,4304,1
11859,4315,1
11859,4323,1
11859,4330,1
11859,4339,1
11859,4344,1
11859,4355,1
11859,4360,1
11859,4369,1
11859,4379,1
11859,4383,1
11859,4386,1
11859,4397,1
11859,4398,1
11859,4408,1
11859,4418,1
11859,4428,1
11859,4438,1
11859,4448,1
11859,4449,1
11859,4460,1
11859,4464,1
11859,4465,1
11859,4466,1
11859,4473,1
11859,4480,1
11859,4487,1
11859,4491,1
11859,4501,1
11859,4505,1
11859,4509,1
11859,4513,1
11859,4518,1
11859,4526,1
11859,4533,1
11859,4540,1
11859,4549,1
11859,4558,1
11859,4564,1
11859,4572,1
11859,4579,1
11859,4585,1
11859,4596,1
11859,4605,1
11859,4614,1
11859,4622,1
11859,4627,1
11859,4628,1
11859,4631,1
11859,4638,1
11859,4649,1
11859,4653,1
11859,4659,1
11859,4667,1
11859,4675,1
11859,4686,1
11859,4687,1
11859,4697,1
11859,4702,1
11859,4710,1
11859,4719,1
11859,4726,1
11859,4733,1
11859,4734,1
11859,4742,1
11859,4751,1
11860,4273,1
11860,4284,1
11860,4287,1
11860,4293,1
11860,4304,1
11860,4315,1
11860,4323,1
11860,4330,1
11860,4339,1
11860,4344,1
11860,4355,1
11860,4360,1
11860,4369,1
11860,4379,1
11860,4383,1
11860,4386,1
11860,4397,1
11860,4398,1
11860,4408,1
11860,4418,1
11860,4428,1
11860,4438,1
11860,4448,1
11860,4449,1
11860,4460,1
11860,4464,1
11860,4465,1
11860,4466,1
11860,4473,1
11860,4480,1
11860,4487,1
11860,4491,1
